0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:00 +0530] "GET /CCyes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/ HTTP/1.1" 200 12170
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/lib/jquery-3.5.1.min.js HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/images/LOADING.gif HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/images/Upload.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/images/newFolder.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/images/MainLogo.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/images/Back.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/fonts/BalsamiqSans-Regular.ttf HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:53:01 +0530] "GET /CCyes/images/MainLogo.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/ HTTP/1.1" 200 12170
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/lib/jquery-3.5.1.min.js HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/images/LOADING.gif HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/images/MainLogo.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/images/Upload.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/images/newFolder.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:07 +0530] "GET /CCyes/images/Back.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:08 +0530] "GET /CCyes/fonts/BalsamiqSans-Regular.ttf HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:08 +0530] "GET /CCyes/images/MainLogo.png HTTP/1.1" 500 13345
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:12 +0530] "GET /headless-content.js.map HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:20 +0530] "GET /CCyes/ HTTP/1.1" 200 12170
0:0:0:0:0:0:0:1 - - [20/Jul/2020:00:54:21 +0530] "GET /CCyes/lib/jquery-3.5.1.min.js HTTP/1.1" 500 13345
